snapped_at,price,market_cap,total_volume
2017-12-27 00:00:00 UTC,1.00682728356262,0.0,280130.571680753
2017-12-28 00:00:00 UTC,1.03803724956752,0.0,132558.013952865
2017-12-29 00:00:00 UTC,1.05272181231004,0.0,45460.3173559161
2017-12-30 00:00:00 UTC,1.08290634194404,3730561.45139914,67270.2708274184
2017-12-31 00:00:00 UTC,1.0470155720823,3606919.43609163,40696.7780811721
2018-01-01 00:00:00 UTC,1.03013390195804,3548762.87595204,12306.0833138472
2018-01-02 00:00:00 UTC,1.00642887264546,3467100.16410661,67113.8794588422
2018-01-03 00:00:00 UTC,1.0066806715421495,3467967.5994711425,55670.844098933376
2018-01-04 00:00:00 UTC,1.0942664226794145,3769696.3956087176,87928.5847358784
2018-01-05 00:00:00 UTC,1.0474675565442755,3608476.5013198717,102661.9202235192
2018-01-06 00:00:00 UTC,1.0718583944830884,3692501.7916496987,37717.487845590906
2018-01-07 00:00:00 UTC,1.022381991457595,3522057.908617816,46517.628138174856
2018-01-08 00:00:00 UTC,1.0556403265024858,3636631.309705718,70373.9458293989
2018-01-09 00:00:00 UTC,1.07171886940745,3692021.1343218028,61255.957937710526
2018-01-10 00:00:00 UTC,1.0157983720058559,3499377.649036689,44824.80344260695
2018-01-11 00:00:00 UTC,1.041512559888868,3587961.817726835,15281.407882643243
2018-01-12 00:00:00 UTC,1.0307883960672852,3551017.577397182,25439.840407368156
2018-01-13 00:00:00 UTC,1.0275267260917234,3539781.2776298607,281574.8795117862
2018-01-14 00:00:00 UTC,1.0003721152614062,9267089.142564405,329716.4818077196
2018-01-15 00:00:00 UTC,1.0267938691620584,9511850.81171215,17572.39949324699
2018-01-16 00:00:00 UTC,0.992355869650842,9192829.513044065,27165.779918758104
2018-01-17 00:00:00 UTC,1.0070960375846576,9047087.125371795,81176.00425747258
2018-01-18 00:00:00 UTC,1.0125851981387743,9567148.98504789,92337.34795768904
2018-01-19 00:00:00 UTC,1.0141710268723425,9583711.341396209,35736.349521870325
2018-01-20 00:00:00 UTC,1.0152090245566168,9745613.749851016,107011.56217848625
