snapped_at,price,market_cap,total_volume
2021-10-21 00:00:00 UTC,5.165901331733121,0.0,74387964.43467262
2021-10-22 00:00:00 UTC,5.165901331733121,0.0,74387964.43467262
2021-10-23 00:00:00 UTC,5.58375655240363,0.0,141371026.2059857
2021-10-24 00:00:00 UTC,5.5170701150392105,0.0,118162635.94408318
2021-10-25 00:00:00 UTC,5.605247903993053,0.0,103186486.38159284
2021-10-26 00:00:00 UTC,6.568958369675747,0.0,92357300.19306019
2021-10-27 00:00:00 UTC,6.071953479463278,0.0,92084362.61746329
2021-10-28 00:00:00 UTC,6.233083533616479,0.0,106296234.01145713
2021-10-29 00:00:00 UTC,5.590526344114838,0.0,104775420.09507594
2021-10-30 00:00:00 UTC,4.747361307532342,0.0,144199552.0667262
2021-10-31 00:00:00 UTC,5.275550540395415,0.0,52811360.58921689
2021-11-01 00:00:00 UTC,4.82834006320898,0.0,33133479.736427013
2021-11-02 00:00:00 UTC,5.303975893211132,0.0,80487384.19377698
2021-11-03 00:00:00 UTC,5.311981564682136,0.0,34947100.74717955
2021-11-04 00:00:00 UTC,6.590038428126246,0.0,51955844.22158585
2021-11-05 00:00:00 UTC,6.358141462040227,0.0,47621728.28741212
2021-11-06 00:00:00 UTC,6.167697786433136,0.0,35299193.76233781
2021-11-07 00:00:00 UTC,6.061020482697239,0.0,33319261.31863631
2021-11-08 00:00:00 UTC,6.475798108144709,0.0,34808688.791049674
2021-11-09 00:00:00 UTC,6.498697186995147,0.0,39859276.962419614
2021-11-10 00:00:00 UTC,6.45846599994944,0.0,36632270.47297545
2021-11-11 00:00:00 UTC,6.470154201364326,0.0,38021207.50731801
2021-11-12 00:00:00 UTC,6.31956080887992,0.0,36901082.52075511
2021-11-13 00:00:00 UTC,6.258378124086465,0.0,57894076.93244988
2021-11-14 00:00:00 UTC,6.440511654507562,0.0,32620272.092933927
2021-11-15 00:00:00 UTC,6.484753197721386,0.0,34254613.388090014
2021-11-16 00:00:00 UTC,6.224391744693751,0.0,43742457.33103718
2021-11-17 00:00:00 UTC,6.114171003086215,0.0,65551260.53188306
2021-11-18 00:00:00 UTC,6.168224338260124,0.0,34825001.918367304
2021-11-19 00:00:00 UTC,6.213461634648408,0.0,27112133.259334136
2021-11-20 00:00:00 UTC,6.90835529011944,0.0,40695902.96754131
2021-11-21 00:00:00 UTC,7.4203919454078875,0.0,41208310.561577104
2021-11-22 00:00:00 UTC,7.212458056460907,0.0,28295257.93800843
2021-11-23 00:00:00 UTC,7.401824738884305,0.0,35446081.2621461
2021-11-24 00:00:00 UTC,7.4870732923762215,0.0,28203642.9980406
2021-11-25 00:00:00 UTC,7.704737826734273,0.0,35509307.2419286
2021-11-26 00:00:00 UTC,8.227226087512141,0.0,24996274.692970857
2021-11-27 00:00:00 UTC,7.7201924956832935,0.0,28769888.565158557
2021-11-28 00:00:00 UTC,7.959937368967454,0.0,26390671.8649028
2021-11-29 00:00:00 UTC,7.753488944838934,0.0,27287975.85791983
2021-11-30 00:00:00 UTC,8.121603936504613,0.0,29830441.69939115
2021-12-01 00:00:00 UTC,7.41656398242404,0.0,68393640.61083055
2021-12-02 00:00:00 UTC,7.120022247087492,0.0,51788503.367506176
2021-12-03 00:00:00 UTC,6.578292292254168,0.0,63848052.774640016
2021-12-04 00:00:00 UTC,6.2978373436636845,0.0,41773816.04549311
2021-12-05 00:00:00 UTC,6.594207281191263,0.0,27176829.96223937
2021-12-06 00:00:00 UTC,6.8533417045377645,0.0,17272447.665422063
2021-12-07 00:00:00 UTC,6.43055056266259,0.0,31718709.326955304
2021-12-08 00:00:00 UTC,6.278278380906475,0.0,13267614.823929463
2021-12-09 00:00:00 UTC,6.265694774964497,0.0,11147893.013615059
2021-12-10 00:00:00 UTC,5.478095425299425,0.0,31005612.656865582
2021-12-11 00:00:00 UTC,5.13259732495454,0.0,22152951.52498478
2021-12-12 00:00:00 UTC,5.546832172543126,0.0,14348273.48720677
2021-12-13 00:00:00 UTC,6.268487514525571,0.0,12710875.141339667
2021-12-14 00:00:00 UTC,5.636141096231778,0.0,17417095.01028702
2021-12-15 00:00:00 UTC,5.60859544414442,0.0,9019681.02009382
2021-12-16 00:00:00 UTC,5.359269281302246,0.0,8006348.758545739
2021-12-17 00:00:00 UTC,5.511388031147116,0.0,8450242.36802732
2021-12-18 00:00:00 UTC,5.065053612008469,0.0,13083193.466407713
2021-12-19 00:00:00 UTC,5.128528462861874,0.0,13219750.858241038
2021-12-20 00:00:00 UTC,5.422269532034771,0.0,6949942.830266033
2021-12-21 00:00:00 UTC,5.18230493837937,0.0,8343159.164623144
2021-12-22 00:00:00 UTC,5.309817701720603,0.0,8116718.3872372145
2021-12-23 00:00:00 UTC,5.98118614797819,0.0,9721473.760696076
2021-12-24 00:00:00 UTC,6.370642911436606,0.0,6189746.448289158
2021-12-25 00:00:00 UTC,6.6293865673831265,0.0,7893795.213091761
2021-12-26 00:00:00 UTC,6.8707532021881095,0.0,4932647.879072615
2021-12-27 00:00:00 UTC,7.320926458949169,0.0,10035263.78744607
2021-12-28 00:00:00 UTC,6.740601241791168,0.0,10985708.931337269
2021-12-29 00:00:00 UTC,7.092323184928908,0.0,9323915.879526546
2021-12-30 00:00:00 UTC,7.062039572590235,0.0,7597889.848604196
2021-12-31 00:00:00 UTC,7.375981354286612,0.0,9281193.571545186
2022-01-01 00:00:00 UTC,7.032553118205698,0.0,12118346.069628248
2022-01-02 00:00:00 UTC,6.872511439736404,0.0,8672641.713764995
2022-01-03 00:00:00 UTC,6.271395874690948,0.0,8696941.382909663
2022-01-04 00:00:00 UTC,6.599569825407541,0.0,11813185.120518362
2022-01-05 00:00:00 UTC,6.518370339283543,0.0,6762013.265979679
2022-01-06 00:00:00 UTC,5.696124426843521,0.0,8175330.889632669
2022-01-07 00:00:00 UTC,5.473720644867157,0.0,6675118.122751684
2022-01-08 00:00:00 UTC,5.621836012209156,0.0,17410308.024175923
2022-01-09 00:00:00 UTC,5.692449857513459,0.0,5214000.063829976
2022-01-10 00:00:00 UTC,5.570323738314698,0.0,6592089.146768587
2022-01-11 00:00:00 UTC,5.2981711549577035,0.0,10883122.848322067
2022-01-12 00:00:00 UTC,5.301610832514476,0.0,3868633.1812133454
2022-01-13 00:00:00 UTC,6.138802293902113,0.0,9935208.683168402
2022-01-14 00:00:00 UTC,5.917110451911437,0.0,7703985.806175695
2022-01-15 00:00:00 UTC,5.862627559816226,0.0,5517079.978512866
2022-01-16 00:00:00 UTC,5.933256143084223,0.0,3250253.4865876995
2022-01-17 00:00:00 UTC,5.657581542834876,0.0,4416652.3869807245
2022-01-18 00:00:00 UTC,5.268054308995075,0.0,7255212.547827246
2022-01-19 00:00:00 UTC,5.040786993007226,0.0,12699403.771541988
2022-01-20 00:00:00 UTC,5.260248320975711,0.0,5165470.076372031
2022-01-21 00:00:00 UTC,5.306642728095748,0.0,5938846.099721589
2022-01-22 00:00:00 UTC,5.031936112721503,0.0,5920712.2938754
2022-01-23 00:00:00 UTC,4.2423639071746955,0.0,6503965.744268674
2022-01-24 00:00:00 UTC,5.012182825951132,0.0,4262366.6368482765
