snapped_at,price,market_cap,total_volume
2017-06-18 00:00:00 UTC,79.98,157240360.08,459888.0
2017-06-19 00:00:00 UTC,156.72,308157909.12,1721070.0
2017-06-20 00:00:00 UTC,124.92,245689657.92,895715.0
2017-06-21 00:00:00 UTC,96.81,190403584.56,193606.0
2017-06-22 00:00:00 UTC,96.12,189046509.12,573637.0
2017-06-23 00:00:00 UTC,90.96,178943424.96,660561.0
2017-06-24 00:00:00 UTC,84.61,166451222.36,531041.0
2017-06-25 00:00:00 UTC,87.31,171762867.56,443626.0
2017-06-26 00:00:00 UTC,73.6,144791513.6,365080.0
2017-06-27 00:00:00 UTC,90.85,178727024.6,657313.0
2017-06-28 00:00:00 UTC,103.64,203888484.64,482075.0
2017-06-29 00:00:00 UTC,83.37,164011800.12,447770.0
2017-06-30 00:00:00 UTC,78.58,154589019.56,403010.0
2017-07-01 00:00:00 UTC,81.01,159370405.93,421272.0
2017-07-02 00:00:00 UTC,89.91,176879493.45,515834.0
2017-07-03 00:00:00 UTC,217.48,427847316.6,1453730.0
2017-07-04 00:00:00 UTC,187.62,369103887.9,2094640.0
2017-07-05 00:00:00 UTC,214.66,422353209.7,1660410.0
2017-07-06 00:00:00 UTC,210.63,414529318.35,1282290.0
2017-07-07 00:00:00 UTC,173.06,340590733.0,1176590.0
2017-07-08 00:00:00 UTC,180.16,354563888.0,1104440.0
2017-07-09 00:00:00 UTC,164.75,324236237.5,831513.0
2017-07-10 00:00:00 UTC,126.82,249588101.0,914471.0
2017-07-11 00:00:00 UTC,125.78,247541329.0,571904.0
2017-07-12 00:00:00 UTC,153.61,302312160.5,1011280.0
2017-07-13 00:00:00 UTC,126.8,249548740.0,539512.0
2017-07-14 00:00:00 UTC,115.52,227349136.0,744585.0
2017-07-15 00:00:00 UTC,107.94,212431317.0,548235.0
2017-07-16 00:00:00 UTC,135.08,265898226.0,828714.0
2017-07-17 00:00:00 UTC,158.71,312412699.5,1091950.0
2017-07-18 00:00:00 UTC,227.79,448402337.1,2354630.0
2017-07-19 00:00:00 UTC,179.39,353306811.1,1922010.0
2017-07-20 00:00:00 UTC,208.17,409988733.3,1190320.0
2017-07-21 00:00:00 UTC,203.13,400062503.7,1188310.0
2017-07-22 00:00:00 UTC,233.72,460309202.8,1369510.0
2017-07-23 00:00:00 UTC,205.49,412270271.71,2011070.0
2017-07-24 00:00:00 UTC,198.78,398808139.62,7882100.0
2017-07-25 00:00:00 UTC,159.24,319479867.96,1645590.0
2017-07-26 00:00:00 UTC,145.63,292174410.77,971248.0
2017-07-27 00:00:00 UTC,156.97,314925614.63,1249480.0
2017-07-28 00:00:00 UTC,148.37,297671615.23,975568.0
2017-07-29 00:00:00 UTC,156.83,314644735.57,775192.0
2017-07-30 00:00:00 UTC,139.26,279394413.54,520481.0
2017-07-31 00:00:00 UTC,151.23,303409573.17,837966.0
2017-08-01 00:00:00 UTC,189.96,381112758.84,1129310.0
2017-08-02 00:00:00 UTC,167.38,335810979.02,1354630.0
2017-08-03 00:00:00 UTC,159.05,319098674.95,931308.0
2017-08-04 00:00:00 UTC,150.62,302185742.98,1424940.0
2017-08-05 00:00:00 UTC,150.32,301583859.28,1018160.0
2017-08-06 00:00:00 UTC,161.78,324616908.74,1067200.0
2017-08-07 00:00:00 UTC,158.05,317132540.65,1491750.0
2017-08-08 00:00:00 UTC,141.42,284329576.86,1768840.0
2017-08-09 00:00:00 UTC,132.26,265913094.58,985518.0
2017-08-10 00:00:00 UTC,133.46,268325734.18,1353190.0
2017-08-11 00:00:00 UTC,132.38,266154358.54,865656.0
2017-08-12 00:00:00 UTC,124.3,249909251.9,1025960.0
2017-08-13 00:00:00 UTC,125.48,252281680.84,1022820.0
2017-08-14 00:00:00 UTC,128.08,257509066.64,555325.0
2017-08-15 00:00:00 UTC,121.41,244098811.53,483228.0
2017-08-16 00:00:00 UTC,120.37,242007857.21,275595.0
2017-08-17 00:00:00 UTC,120.48,242229015.84,274439.0
2017-08-18 00:00:00 UTC,125.13,251653197.42,498360.0
2017-08-19 00:00:00 UTC,126.15,253704554.1,234770.0
2017-08-20 00:00:00 UTC,126.34,254086669.56,255106.0
2017-08-21 00:00:00 UTC,121.43,244212001.62,395331.0
2017-08-22 00:00:00 UTC,113.88,229027939.92,375587.0
2017-08-23 00:00:00 UTC,108.92,219052715.28,395294.0
2017-08-24 00:00:00 UTC,109.26,219736500.84,1204910.0
2017-08-25 00:00:00 UTC,114.03,229329610.02,571147.0
2017-08-26 00:00:00 UTC,108.8,218811379.2,518123.0
2017-08-27 00:00:00 UTC,99.76,200630727.84,540268.0
2017-08-28 00:00:00 UTC,105.0,211169070.0,1185130.0
2017-08-29 00:00:00 UTC,104.42,210002612.28,443952.0
2017-08-30 00:00:00 UTC,90.71,182429965.14,768580.0
2017-08-31 00:00:00 UTC,93.63,188302476.42,559086.0
2017-09-01 00:00:00 UTC,93.03,187095796.02,1115050.0
2017-09-02 00:00:00 UTC,95.97,193008529.98,645553.0
2017-09-03 00:00:00 UTC,99.56,200228501.04,617485.0
