snapped_at,price,market_cap,total_volume
2017-12-03 00:00:00 UTC,50.7516562153572,0.0,3028281.30875684
2017-12-04 00:00:00 UTC,47.8533942734568,0.0,2019804.22192376
2017-12-05 00:00:00 UTC,43.8621908904608,0.0,1885317.53038749
2017-12-06 00:00:00 UTC,39.8566787371375,0.0,3065937.14290492
2017-12-07 00:00:00 UTC,37.39540486723,0.0,3977517.35206282
2017-12-08 00:00:00 UTC,37.9668041531325,0.0,4763140.39575506
2017-12-09 00:00:00 UTC,34.0941581159651,0.0,3004077.48363696
2017-12-10 00:00:00 UTC,39.9635901260133,0.0,9035900.51611373
2017-12-11 00:00:00 UTC,38.8797584848165,0.0,4673131.59837319
2017-12-12 00:00:00 UTC,34.7572427610082,0.0,4512156.02938792
2017-12-13 00:00:00 UTC,33.0482268353029,0.0,3777931.97072723
2017-12-14 00:00:00 UTC,41.4212751590264,0.0,6536249.62776749
2017-12-15 00:00:00 UTC,41.5725956108589,0.0,7539398.66190501
2017-12-16 00:00:00 UTC,41.9117796120329,0.0,5803234.59334861
2017-12-17 00:00:00 UTC,41.7413290141208,0.0,3108622.97718407
2017-12-18 00:00:00 UTC,42.3874440919581,0.0,2966443.05122061
2017-12-19 00:00:00 UTC,45.6091567579632,0.0,4403391.4781121
2017-12-20 00:00:00 UTC,59.733933655991,0.0,6009177.11971163
2017-12-21 00:00:00 UTC,55.0597031995608,0.0,8221626.31246532
2017-12-22 00:00:00 UTC,42.1146623136983,0.0,4036053.89296242
2017-12-23 00:00:00 UTC,44.2618049732593,0.0,2763871.44400624
2017-12-24 00:00:00 UTC,40.0472545868131,0.0,1391793.55224866
2017-12-25 00:00:00 UTC,48.1595284362474,0.0,3135188.72782483
2017-12-26 00:00:00 UTC,61.7882600108233,0.0,4316441.14182174
2017-12-27 00:00:00 UTC,36.2402906452109,0.0,7774980.51626027
2017-12-28 00:00:00 UTC,27.6521934685652,0.0,5385731.40863614
2017-12-29 00:00:00 UTC,29.069962678939,0.0,5595672.77498211
2017-12-30 00:00:00 UTC,29.3231191843867,0.0,4223271.48423718
2017-12-31 00:00:00 UTC,30.054977916598,0.0,4726591.1074419
2018-01-01 00:00:00 UTC,25.2197792503831,0.0,3910263.3780277
2018-01-02 00:00:00 UTC,25.7365880479455,0.0,7205437.22665748
2018-01-03 00:00:00 UTC,20.59039969787367,0.0,6329593.578567312
2018-01-04 00:00:00 UTC,28.009516529681257,0.0,7230787.483412667
2018-01-05 00:00:00 UTC,23.352475160665325,0.0,7150504.484556355
2018-01-06 00:00:00 UTC,22.19057292249669,0.0,5421664.507225047
2018-01-07 00:00:00 UTC,28.022290905663894,0.0,13204173.333662173
2018-01-08 00:00:00 UTC,28.088906188868663,0.0,11806208.868915353
2018-01-09 00:00:00 UTC,26.270424103852893,0.0,7304080.155718986
2018-01-10 00:00:00 UTC,18.234326353277797,0.0,5408507.115852443
2018-01-11 00:00:00 UTC,18.161657462649227,0.0,4554803.268714623
2018-01-12 00:00:00 UTC,19.055912478780478,0.0,4128474.0185333895
2018-01-13 00:00:00 UTC,147.1797900854071,0.0,1057648588.7654318
2018-01-14 00:00:00 UTC,106.03430855499275,0.0,324255574.6086753
2018-01-15 00:00:00 UTC,69.3720612164085,0.0,62609808.127628826
2018-01-16 00:00:00 UTC,15.36605430658927,0.0,8955568.117248379
2018-01-17 00:00:00 UTC,79.5235409172573,0.0,181222814.23594502
2018-01-18 00:00:00 UTC,82.40131814164687,0.0,120308113.9072841
2018-01-19 00:00:00 UTC,66.6838235815995,0.0,23801109.891033504
2018-01-20 00:00:00 UTC,17.469721296666858,0.0,6930004.281628179
2018-01-21 00:00:00 UTC,50.97868119625318,0.0,10118497.87199728
2018-01-22 00:00:00 UTC,58.94892009717527,0.0,24008469.56000554
2018-01-23 00:00:00 UTC,50.26045613390331,0.0,11718934.998062065
2018-01-24 00:00:00 UTC,51.69631193883584,0.0,17452310.87935888
2018-01-25 00:00:00 UTC,36.76383360471176,0.0,7861512.802192556
2018-01-26 00:00:00 UTC,36.02731826459285,0.0,6425646.881752088
2018-01-27 00:00:00 UTC,29.98315416592971,0.0,7487735.5189074045
2018-01-28 00:00:00 UTC,33.84938440004154,0.0,7367990.077683701
2018-01-29 00:00:00 UTC,24.949788797699803,0.0,7408292.871369909
2018-01-30 00:05:11 UTC,25.46277751768881,0.0,7344930.12176937
2018-01-31 00:00:00 UTC,22.29070690232631,0.0,5161591.103894331
2018-02-01 00:00:00 UTC,22.150516421670556,0.0,4080498.4577774024
2018-02-02 00:00:00 UTC,42.09110867394202,0.0,44944170.89826798
2018-02-03 00:00:00 UTC,31.49292356054239,0.0,14261681.332570702
2018-02-04 00:00:00 UTC,27.888091428065515,0.0,4752287.117488579
2018-02-05 00:00:00 UTC,39.30789630267511,0.0,25245160.869399093
2018-02-06 00:00:00 UTC,32.98342962519944,0.0,24721534.858762532
2018-02-07 00:00:00 UTC,34.520161261130276,0.0,8526327.459175823
2018-02-08 00:05:10 UTC,26.81338313598762,0.0,4465408.751043457
2018-02-09 00:00:00 UTC,6.838035978514467,0.0,943253.8334996551
2018-02-10 00:00:00 UTC,33.883993672921505,0.0,4381150.490866888
2018-02-11 00:00:00 UTC,31.36298716561429,0.0,3901793.440279694
2018-02-12 00:00:00 UTC,30.686162146582678,0.0,1865884.0687345075
2018-02-13 00:00:00 UTC,35.310985323975366,0.0,2348688.075710738
2018-02-14 00:00:00 UTC,31.103042225032752,0.0,2025350.7299254565
2018-02-15 00:00:00 UTC,33.5365394864893,0.0,2880242.420844762
